,val_loss,val_accuracy,loss,accuracy
0,1.2652212858200074,0.8151000142097473,1.9148006677627563,0.37786665558815
1,0.604187297821045,0.8521999716758728,1.1123642365137736,0.6552000045776367
2,0.45217289924621584,0.8895999789237976,0.7798423409461975,0.7507666945457458
3,0.368146675825119,0.9039999842643738,0.6425991813341777,0.79708331823349
4,0.3165445446968079,0.9192000031471252,0.5615388870239257,0.8223666548728943
5,0.27528759837150574,0.927299976348877,0.49749247630437216,0.84538334608078
6,0.23928928673267363,0.9361000061035156,0.4434416353702545,0.8617833256721497
7,0.21309279203414916,0.9424999952316284,0.40508560140927635,0.8727666735649109
8,0.18694679141044618,0.948199987411499,0.36313414573669434,0.8860333561897278
9,0.16849766671657562,0.9520999789237976,0.32885888616243997,0.8970833420753479
10,0.15291819274425505,0.9562000036239624,0.3049710710843404,0.9062166810035706
11,0.13925728797912598,0.958299994468689,0.28188026348749795,0.9130666851997375
12,0.12848170697689057,0.9624000191688538,0.2658616950114568,0.9183499813079834
13,0.12009268254041672,0.9650999903678894,0.249148694674174,0.9228333234786987
14,0.11210591346025467,0.967199981212616,0.23735430439313251,0.9268166422843933
15,0.1061970517039299,0.9688000082969666,0.2260955184698105,0.9303666949272156
16,0.09870781153440475,0.970300018787384,0.2148300439119339,0.9319666624069214
17,0.09491890370845794,0.9707000255584717,0.20920536319414776,0.9347500205039978
18,0.09030444398522378,0.9721999764442444,0.2008673151334127,0.9378833174705505
19,0.08691509589552879,0.9732999801635742,0.19451102117697397,0.9403333067893982
20,0.08341970071196556,0.973800003528595,0.18924894233544667,0.9408000111579895
21,0.08098796010017395,0.974399983882904,0.18299925029277803,0.9434999823570251
22,0.07678118944168091,0.9751999974250793,0.1760253816843033,0.9445833563804626
23,0.07447944357991218,0.9760000109672546,0.17481083075205486,0.9459166526794434
24,0.07199186310172082,0.9768000245094299,0.16955883999665577,0.946566641330719
